rent,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,latitude,longitude,dishwasher,dist_transit,dist_wall_street,pets_allowed,beds_times_baths
2250.0,950.0,0,0,0,1,0,0,0,1,0,40.66139,-73.9276,0,0.3373168334810046,5.382378190225278,1,3.0
3300.0,999.0,0,1,0,0,0,0,0,0,0,40.67642,-73.96899,1,0.12403607868390942,3.055483073950502,1,2.0
3600.0,999.0,0,1,0,0,0,0,0,0,0,40.67642,-73.96899,1,0.12403607868390942,3.055483073950502,1,2.0
2250.0,999.0,0,1,0,1,0,0,0,0,0,40.69217,-73.91745,1,0.32569011092967515,4.974481111593578,1,1.0
1700.0,600.0,0,0,0,0,0,0,0,0,0,40.60974,-73.95968,0,0.10879442179112662,7.269729322006543,0,2.0
4150.0,2000.0,0,1,1,0,0,0,0,0,0,40.70453,-73.92457,1,0.16011108777108718,4.488903027038175,1,4.5
1700.0,750.0,0,0,0,1,0,0,0,1,0,40.6163,-74.03778,0,0.33606252404087794,6.4813265071235096,1,0.0
2499.0,700.0,0,1,1,0,0,0,0,0,0,40.69383,-73.93989,0,0.31403820617506967,3.8046475187841673,1,1.0
2999.0,1000.0,0,0,1,1,0,0,0,0,0,40.6956,-73.92275,0,0.2526566462262248,4.655220019849582,1,3.0
2299.0,750.0,0,1,0,0,0,0,0,0,0,40.68297,-73.90676,0,0.09627018164316688,5.681005810766736,1,2.0
2100.0,800.0,0,1,0,0,0,0,0,0,0,40.68297,-73.90676,0,0.09627018164316688,5.681005810766736,1,2.0
2100.0,900.0,0,1,0,0,0,0,0,0,0,40.68297,-73.90676,0,0.09627018164316688,5.681005810766736,1,2.0
2100.0,800.0,0,1,0,0,0,0,0,0,0,40.68297,-73.90676,0,0.09627018164316688,5.681005810766736,1,2.0
2500.0,950.0,0,0,0,0,0,0,0,0,0,40.59692,-73.9539,0,0.1460495144525128,8.205215946703118,0,2.0
4250.0,1312.0,0,0,0,0,0,0,0,0,0,40.58494,-73.9354,1,0.9969585125323601,9.346134045354805,0,7.5
1348.0,107.0,1,1,1,1,1,0,0,1,0,40.70119,-73.91121,1,0.09517656350547067,5.203021882635193,0,0.0
1439.0,81.0,1,1,1,1,1,0,0,1,0,40.70119,-73.91121,1,0.09517656350547067,5.203021882635193,0,0.0
1453.0,81.0,1,1,1,1,1,0,0,1,0,40.70119,-73.91121,1,0.09517656350547067,5.203021882635193,0,0.0
1366.5,120.0,0,1,1,0,0,0,0,0,0,40.6613,-73.95333,1,0.18237395165884077,4.377571504488697,0,0.0
3500.0,900.0,1,1,0,1,0,0,0,1,0,40.67355,-73.96143,1,0.17352659381665209,3.4784204632407754,1,1.5
4500.0,1000.0,1,1,0,1,0,0,0,1,0,40.67355,-73.96143,1,0.17352659381665209,3.4784204632407754,1,4.0
