rent,beds,baths,sqft,date_available,date_scraped,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,income_restrictions,latitude,longitude,zipcode,dishwasher,dist_seattle,dist_transit,neighborhood,pets_allowed,zipcode_id _0.0,zipcode_id _1.0,zipcode_id _2.0,zipcode_id _3.0,zipcode_id _4.0,zipcode_id _5.0
6.856461984594587,0,0.0,5.135798437050262,2022-04-01,2022-04-01,0,0,0,1,0,1,0,0,0,0,1,47.67066,-122.37952,98107,0.0,5.04664873305495,0.1640237303071385,Adams,1,1,0,0,0,0,0
6.932447891572509,0,0.0,5.356586274672012,2022-04-10,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,47.67066,-122.37952,98107,0.0,5.04664873305495,0.1640237303071385,Adams,1,1,0,0,0,0,0
6.802394763324311,0,0.0,5.0689042022202315,2022-04-25,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,47.67066,-122.37952,98107,0.0,5.04664873305495,0.1640237303071385,Adams,1,1,0,0,0,0,0
7.047517221357296,0,0.0,5.3230099791384085,2022-04-10,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,47.67066,-122.37952,98107,0.0,5.04664873305495,0.1640237303071385,Adams,1,1,0,0,0,0,0
7.1891677384203225,0,1.0,5.755742213586912,2022-04-10,2022-04-10,0,0,0,1,0,1,0,1,1,0,1,47.61803,-122.30643,98122,0.0,1.6521871281636646,0.0491357249610814,Stevens,0,0,0,0,0,0,1
6.851184927493743,0,1.0,5.278114659230517,2022-04-10,2022-04-10,0,0,0,1,0,1,0,1,1,0,1,47.61803,-122.30643,98122,0.0,1.6521871281636646,0.0491357249610814,Stevens,0,0,0,0,0,0,1
6.829793737512425,1,1.0,5.1298987149230735,2022-04-10,2022-04-10,0,0,0,1,0,0,0,1,0,0,0,47.61986,-122.30185,98112,0.0,1.899257579506425,0.0361879580110205,Stevens,0,0,0,0,1,0,0
6.684611727667927,1,0.5,5.198497031265826,2022-04-10,2022-04-10,0,1,1,0,0,0,0,0,0,0,0,47.71388,-122.29584,98125,1.0,7.808582808489424,0.1314774028057482,Meadowbrook,0,0,0,0,0,1,0
6.620073206530356,1,0.5,5.19295685089021,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,47.58479,-122.30201,98144,0.0,2.037379185475388,0.0608601750032368,Atlantic,1,0,0,0,0,0,1
6.745236349484363,1,1.0,5.703782474656201,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,47.49133,-122.33631,98146,1.0,7.785825786631486,0.1296593514443626,,0,0,0,1,0,0,0
6.774223886357614,1,1.0,5.703782474656201,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,47.49133,-122.33631,98146,1.0,7.785825786631486,0.1296593514443626,,0,0,0,1,0,0,0
6.802394763324311,1,1.0,5.703782474656201,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,47.49133,-122.33631,98146,1.0,7.785825786631486,0.1296593514443626,,0,0,0,1,0,0,0
6.802394763324311,0,0.0,5.247024072160486,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,0,1,0,47.6173,-122.31655,98122,1.0,1.262859345226376,0.1383273114149118,Broadway,1,0,0,0,0,0,1
