rent,beds,baths,sqft,date_available,date_scraped,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,latitude,longitude,zipcode,dishwasher,price/sqft,dist_seattle,dist_transit,zipcode_cluster_id,neighborhood
1372.0,2,2.0,830.0,2022-05-21,2022-04-06,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,1.653012048192771,0.7086455444803745,0.0565335013838727,5.0,Belltown
1500.0,1,1.0,600.0,2022-04-01,2022-04-01,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,2.5,0.7086455444803745,0.0565335013838727,5.0,Belltown
987.5,0,1.0,425.0,2022-04-10,2022-04-10,0,0,0,1,0,1,0,0,1,0,0,0,0,47.61378,-122.33981,98121,0,2.323529411764706,0.7086455444803745,0.0565335013838727,5.0,Belltown
825.0,0,0.0,138.0,2022-04-22,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,5.978260869565218,5.04664873305495,0.16402373030713857,0.0,Adams
850.0,0,0.0,149.0,2022-04-01,2022-04-01,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,5.704697986577181,5.04664873305495,0.16402373030713857,0.0,Adams
900.0,0,0.0,180.0,2022-04-01,2022-04-01,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,5.0,5.04664873305495,0.16402373030713857,0.0,Adams
950.0,0,0.0,170.0,2022-04-01,2022-04-01,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,5.588235294117647,5.04664873305495,0.16402373030713857,0.0,Adams
1025.0,0,0.0,212.0,2022-04-10,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,4.834905660377358,5.04664873305495,0.16402373030713857,0.0,Adams
900.0,0,0.0,159.0,2022-04-25,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,5.660377358490566,5.04664873305495,0.16402373030713857,0.0,Adams
1150.0,0,0.0,205.0,2022-04-10,2022-04-10,0,0,0,1,0,1,0,0,0,0,1,1,1,47.67066,-122.37952,98107,0,5.609756097560975,5.04664873305495,0.16402373030713857,0.0,Adams
1325.0,0,1.0,316.0,2022-04-10,2022-04-10,0,0,0,1,0,1,0,1,1,0,0,0,1,47.61803,-122.30643,98122,0,4.193037974683544,1.6521871281636646,0.04913572496108149,5.0,Stevens
945.0,0,1.0,196.0,2022-04-10,2022-04-10,0,0,0,1,0,1,0,1,1,0,0,0,1,47.61803,-122.30643,98122,0,4.821428571428571,1.6521871281636646,0.04913572496108149,5.0,Stevens
925.0,1,1.0,169.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,1,0,0,0,0,0,47.61986,-122.30185,98112,0,5.4733727810650885,1.899257579506425,0.03618795801102051,3.0,Stevens
800.0,1,0.5,181.0,2022-04-10,2022-04-10,0,1,1,0,0,0,0,0,0,0,0,0,0,47.71388,-122.29584,98125,1,4.419889502762431,7.808582808489424,0.13147740280574824,4.0,Meadowbrook
750.0,1,0.5,180.0,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,1,1,0,47.58479,-122.30201,98144,0,4.166666666666667,2.037379185475388,0.060860175003236816,5.0,Atlantic
850.0,1,1.0,300.0,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,0,0,47.49133,-122.33631,98146,1,2.8333333333333335,7.785825786631486,0.12965935144436266,2.0,
875.0,1,1.0,300.0,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,0,0,47.49133,-122.33631,98146,1,2.9166666666666665,7.785825786631486,0.12965935144436266,2.0,
900.0,1,1.0,300.0,2022-04-10,2022-04-10,0,0,1,0,0,0,0,0,0,0,0,0,0,47.49133,-122.33631,98146,1,3.0,7.785825786631486,0.12965935144436266,2.0,
900.0,0,0.0,190.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,0,1,1,1,0,47.6173,-122.31655,98122,1,4.7368421052631575,1.262859345226376,0.13832731141491184,5.0,Broadway
950.0,0,0.0,228.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,0,1,1,1,0,47.6173,-122.31655,98122,1,4.166666666666667,1.262859345226376,0.13832731141491184,5.0,Broadway
950.0,0,0.0,228.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,0,1,1,1,0,47.6173,-122.31655,98122,1,4.166666666666667,1.262859345226376,0.13832731141491184,5.0,Broadway
750.0,0,0.0,130.0,2022-04-10,2022-04-10,1,0,1,0,0,0,0,1,0,0,0,0,0,47.60482,-122.31964,98122,1,5.769230769230769,0.72548454952965,0.05789141994776175,5.0,Yesler Terrace
1205.0,0,0.0,182.0,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,0,0,1,47.6182,-122.32713,98122,0,6.6208791208791204,1.0492818656678258,0.03683420779913228,5.0,Broadway
1325.0,0,0.0,222.0,2022-04-01,2022-04-01,0,0,0,1,0,1,1,0,1,0,0,0,1,47.6182,-122.32713,98122,0,5.968468468468468,1.0492818656678258,0.03683420779913228,5.0,Broadway
1595.0,0,0.0,288.0,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,0,0,1,47.6182,-122.32713,98122,0,5.538194444444445,1.0492818656678258,0.03683420779913228,5.0,Broadway
1025.0,0,0.0,168.0,2022-04-21,2022-04-10,0,0,0,1,0,1,1,0,1,0,0,0,1,47.6182,-122.32713,98122,0,6.101190476190476,1.0492818656678258,0.03683420779913228,5.0,Broadway
1100.0,0,0.0,256.0,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,0,0,1,47.6182,-122.32713,98122,0,4.296875,1.0492818656678258,0.03683420779913228,5.0,Broadway
1350.0,0,0.0,265.0,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,0,0,47.67293,-122.31769,98115,0,5.09433962264151,4.830720429385861,0.04101424752756132,3.0,Roosevelt
1325.0,0,0.0,246.0,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,0,0,47.67293,-122.31769,98115,0,5.3861788617886175,4.830720429385861,0.04101424752756132,3.0,Roosevelt
1300.0,0,0.0,208.0,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,0,0,47.67293,-122.31769,98115,0,6.25,4.830720429385861,0.04101424752756132,3.0,Roosevelt
1100.0,0,0.0,169.0,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,0,0,47.67293,-122.31769,98115,0,6.508875739644971,4.830720429385861,0.04101424752756132,3.0,Roosevelt
1500.0,0,0.0,303.0,2022-04-01,2022-04-01,1,1,0,1,0,1,1,0,1,1,0,0,0,47.67293,-122.31769,98115,0,4.9504950495049505,4.830720429385861,0.04101424752756132,3.0,Roosevelt
1057.0,0,0.0,233.0,2022-05-09,2022-04-10,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,4.536480686695279,0.3721153663249479,0.09963494175543144,5.0,First Hill
1047.0,0,0.0,233.0,2022-04-21,2022-04-01,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,4.493562231759657,0.3721153663249479,0.09963494175543144,5.0,First Hill
1073.0,0,0.0,313.0,2022-04-08,2022-04-01,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,3.428115015974441,0.3721153663249479,0.09963494175543144,5.0,First Hill
1028.0,0,0.0,236.0,2022-04-22,2022-04-01,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,4.3559322033898304,0.3721153663249479,0.09963494175543144,5.0,First Hill
1254.0,0,0.0,315.0,2022-05-29,2022-04-10,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,3.980952380952381,0.3721153663249479,0.09963494175543144,5.0,First Hill
1054.0,0,0.0,236.0,2022-04-22,2022-04-10,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,4.466101694915254,0.3721153663249479,0.09963494175543144,5.0,First Hill
1028.0,0,0.0,263.0,2022-04-22,2022-04-10,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,3.908745247148289,0.3721153663249479,0.09963494175543144,5.0,First Hill
1195.0,0,0.0,313.0,2022-05-11,2022-04-10,0,0,0,1,0,0,0,0,0,0,1,1,0,47.60589,-122.32768,98104,1,3.817891373801917,0.3721153663249479,0.09963494175543144,5.0,First Hill
1145.0,0,0.0,202.0,2022-04-10,2022-04-10,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,5.6683168316831685,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1199.0,0,0.0,183.0,2022-04-01,2022-04-01,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,6.551912568306011,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1159.0,0,0.0,183.0,2022-04-10,2022-04-10,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,6.333333333333333,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1115.0,0,0.0,201.0,2022-04-10,2022-04-10,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,5.54726368159204,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1199.0,0,0.0,235.0,2022-04-01,2022-04-01,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,5.102127659574468,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1075.0,0,0.0,224.0,2022-05-01,2022-04-01,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,4.799107142857143,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1099.0,0,0.0,224.0,2022-04-30,2022-04-01,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,4.90625,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1085.0,0,0.0,211.0,2022-04-25,2022-04-10,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,5.14218009478673,6.149355705775471,0.0518812310257078,3.0,Wedgwood
775.0,0,0.0,224.0,2022-04-30,2022-04-10,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,3.4598214285714284,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1085.0,0,0.0,224.0,2022-04-10,2022-04-10,1,0,1,0,0,1,0,1,1,1,1,1,0,47.69086,-122.30628,98115,1,4.84375,6.149355705775471,0.0518812310257078,3.0,Wedgwood
1275.0,0,0.0,262.0,2022-07-07,2022-04-10,0,0,0,1,0,1,1,0,1,0,1,1,1,47.67751,-122.31845,98115,0,4.866412213740458,5.13743891935156,0.0813751759653578,3.0,Roosevelt
1304.0,0,0.0,269.0,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,1,1,1,47.67751,-122.31845,98115,0,4.847583643122676,5.13743891935156,0.0813751759653578,3.0,Roosevelt
1475.0,0,0.0,339.0,2022-04-01,2022-04-01,0,0,0,1,0,1,1,0,1,0,1,1,1,47.67751,-122.31845,98115,0,4.351032448377581,5.13743891935156,0.0813751759653578,3.0,Roosevelt
1575.0,0,0.0,452.0,2022-06-03,2022-04-01,0,0,0,1,0,1,1,0,1,0,1,1,1,47.67751,-122.31845,98115,0,3.484513274336283,5.13743891935156,0.0813751759653578,3.0,Roosevelt
