rent,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,income_restrictions,dishwasher,dist_seattle,dist_transit,cluster_rent_per_sqft,beds_times_baths,pets_allowed
6.522092798170152,5.087596335232384,0,0,1,0,0,0,0,0,0,0,0,1.0,3.932519298354952,0.1229585626975506,3.8291626649775528,0.5,1
6.4692503167957724,4.997212273764115,0,0,0,1,0,0,0,0,1,0,0,0.0,0.605872428730368,0.0754637311844254,3.3513961476920207,0.0,0
6.4692503167957724,4.983606621708336,0,0,0,1,0,0,0,0,1,0,0,0.0,0.605872428730368,0.0754637311844254,3.3513961476920207,0.0,0
6.4692503167957724,4.74493212836325,0,0,0,1,0,0,0,0,1,0,0,0.0,0.605872428730368,0.0754637311844254,3.3513961476920207,0.0,0
6.802394763324311,5.159055299214529,0,0,0,1,0,0,0,0,0,0,0,0.0,4.353582349026926,0.0762678238538377,3.716994020541239,0.0,0
6.829793737512425,5.298317366548036,0,0,0,1,0,0,0,0,0,0,0,0.0,4.353582349026926,0.0762678238538377,3.716994020541239,0.0,0
6.620073206530356,5.0106352940962555,0,0,0,1,0,0,0,0,0,0,0,0.0,4.353582349026926,0.0762678238538377,3.716994020541239,0.0,0
6.745236349484363,4.990432586778736,0,0,0,1,0,0,0,0,0,0,0,0.0,4.353582349026926,0.0762678238538377,3.716994020541239,0.0,0
6.829793737512425,5.135798437050262,0,0,0,1,0,0,0,0,0,0,0,0.0,4.353582349026926,0.0762678238538377,3.716994020541239,0.0,0
7.01211529430638,6.327936783729195,1,0,0,1,0,1,0,0,1,0,1,0.0,4.343273288884581,0.0865790630423652,3.365049991084964,1.0,1
6.818924065275521,5.857933154483459,1,0,0,1,0,1,0,0,1,0,1,0.0,4.343273288884581,0.0865790630423652,3.365049991084964,0.0,1
6.827087375914682,5.214935757608986,0,0,0,1,0,0,0,0,0,0,0,0.0,3.3185281363151478,0.0651113330399497,3.181736199416241,0.0,0
6.880384082186005,6.075346031088684,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,0.0,0
7.3758821482150125,6.851184927493743,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,4.0,0
7.200424892944957,6.244166900663736,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,1.0,0
7.1459844677143876,6.173786103901937,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,1.0,0
7.10002716662926,6.184148890937483,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,1.0,0
7.257707677160043,6.721425700790643,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,4.0,0
7.313220387090301,6.396929655216146,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,1.0,0
6.895176496775277,6.052089168924417,0,0,0,1,0,1,0,0,1,0,0,0.0,0.7086455444803745,0.0565335013838727,3.598750422610845,0.0,0
6.715383386334681,4.927253685157205,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
6.745236349484363,5.003946305945459,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
6.802394763324311,5.19295685089021,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
6.856461984594587,5.135798437050262,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
6.932447891572509,5.356586274672012,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
6.802394763324311,5.0689042022202315,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
7.047517221357296,5.3230099791384085,0,0,0,1,0,1,0,0,0,0,1,0.0,5.04664873305495,0.1640237303071385,3.4846800648790897,0.0,1
7.1891677384203225,5.755742213586912,0,0,0,1,0,1,0,1,1,0,1,0.0,1.6521871281636646,0.0491357249610814,3.5480953053568864,0.0,0
6.851184927493743,5.278114659230517,0,0,0,1,0,1,0,1,1,0,1,0.0,1.6521871281636646,0.0491357249610814,3.5480953053568864,0.0,0
6.829793737512425,5.1298987149230735,0,0,0,1,0,0,0,1,0,0,0,0.0,1.899257579506425,0.0361879580110205,3.5480953053568864,1.0,0
6.684611727667927,5.198497031265826,0,1,1,0,0,0,0,0,0,0,0,1.0,7.808582808489424,0.1314774028057482,2.50269158407237,0.5,0
6.620073206530356,5.19295685089021,0,0,1,0,0,0,0,0,0,0,0,0.0,2.037379185475388,0.0608601750032368,3.1357488424040834,0.5,1
6.745236349484363,5.703782474656201,0,0,1,0,0,0,0,0,0,0,0,1.0,7.785825786631486,0.1296593514443626,2.316093093928888,1.0,0
6.774223886357614,5.703782474656201,0,0,1,0,0,0,0,0,0,0,0,1.0,7.785825786631486,0.1296593514443626,2.316093093928888,1.0,0
6.802394763324311,5.703782474656201,0,0,1,0,0,0,0,0,0,0,0,1.0,7.785825786631486,0.1296593514443626,2.316093093928888,1.0,0
6.802394763324311,5.247024072160486,1,1,1,0,0,1,0,0,0,1,0,1.0,1.262859345226376,0.1383273114149118,3.708731883390012,0.0,1
