rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,borough,dishwasher,dist_transit,dist_midtown,pets_allowed,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_16.0
8.389359819906353,1,1.0,6.595780513961311,1,1,0,1,0,0,0,1,1,Manhattan,1,0.1212240622285499,3.067061845099419,1,0,0,0,0,0,0,0,0,1,0,0
8.664750755773852,3,1.0,6.907755278982137,0,1,1,0,0,0,0,0,0,Manhattan,1,0.11625314773738743,2.436346281883807,0,0,0,0,0,0,1,0,0,0,0,0
8.443115988019922,4,2.0,6.802394763324311,0,0,1,0,0,0,0,0,0,Manhattan,0,0.026668461690481916,4.555531608288841,1,0,0,0,0,1,0,0,0,0,0,0
8.070906088787819,3,2.5,6.476972362889683,0,0,0,0,0,0,0,0,0,Manhattan,1,0.04309282358205627,4.590171813403814,1,0,0,0,0,1,0,0,0,0,0,0
9.392661928770137,2,2.0,7.2078598714324755,1,0,1,0,0,1,0,0,1,Manhattan,0,0.0413556027166051,1.0456943944819526,1,0,0,1,0,0,0,0,0,0,0,0
8.611593866837723,3,1.0,6.856461984594587,0,0,0,1,0,0,0,1,0,Manhattan,1,0.10968571644820863,0.5064538145370667,1,0,0,0,0,0,0,1,0,0,0,0
8.187299270155147,2,1.0,6.620073206530356,0,0,0,1,0,0,0,1,0,Manhattan,1,0.10968571644820863,0.5064538145370667,1,0,0,0,0,0,0,1,0,0,0,0
8.281470857895167,2,1.0,6.684611727667927,0,0,1,0,0,0,0,0,0,Manhattan,1,0.1379481946054468,2.2753766784863654,1,0,0,0,0,0,0,0,1,0,0,0
8.698681067461614,2,1.0,6.551080335043404,0,0,1,0,0,0,0,0,0,Manhattan,1,0.1379481946054468,2.2753766784863654,1,0,0,0,0,0,0,0,1,0,0,0
8.476371196895983,1,1.0,6.697034247666484,0,0,0,1,0,0,0,1,0,Manhattan,1,0.22047413675487457,1.3072541851499637,0,0,0,0,0,0,0,1,0,0,0,0
