rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,borough,dishwasher,dist_waterfront,pets_allowed,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_16.0
8.070906088787819,0,1.0,6.214608098422191,0,1,0,1,0,1,0,1,0,Manhattan,1,1.4679767398017396,0,0,0,1,0,0,0,0,0,0,0,0
8.536995818712418,1,1.0,6.476972362889683,0,1,1,0,0,0,0,0,1,Manhattan,1,2.3120065727859624,1,0,0,1,0,0,0,0,0,0,0,0
8.174702882469461,1,1.0,6.907755278982137,0,1,0,1,0,0,0,1,0,Manhattan,1,2.3111822878899693,1,0,0,0,0,0,0,0,0,1,0,0
7.83399634170946,2,2.0,6.51471269087253,1,0,1,0,0,0,0,1,0,Manhattan,1,2.0285666308831463,1,0,0,0,0,1,0,0,0,0,0,0
8.197538739721184,1,1.0,6.687108607866515,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.612503371220562,2,2.0,6.860663671448287,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
7.9724660159745655,0,0.0,6.16541785423142,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.101980731853192,0,0.0,6.423246963533519,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.517193191416238,2,2.0,6.894670039433482,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.411832675758411,1,1.0,6.565264970035361,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
