rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,dishwasher,price/sqft,dist_seattle,dist_transit,cluster_id
750.0,0,0.0,130.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,5.769230769230769,0.72548454952965,0.05789141994776175,5
1205.0,0,0.0,182.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,6.6208791208791204,1.0492818656678258,0.03683420779913228,23
1325.0,0,0.0,222.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,5.968468468468468,1.0492818656678258,0.03683420779913228,23
1595.0,0,0.0,288.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,5.538194444444445,1.0492818656678258,0.03683420779913228,23
1025.0,0,0.0,168.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,6.101190476190476,1.0492818656678258,0.03683420779913228,23
1100.0,0,0.0,256.0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,4.296875,1.0492818656678258,0.03683420779913228,23
1350.0,0,0.0,265.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,5.09433962264151,4.830720429385861,0.04101424752756132,4
1325.0,0,0.0,246.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,5.3861788617886175,4.830720429385861,0.04101424752756132,4
1300.0,0,0.0,208.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,6.25,4.830720429385861,0.04101424752756132,4
1100.0,0,0.0,169.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,6.508875739644971,4.830720429385861,0.04101424752756132,4
1500.0,0,0.0,303.0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,4.9504950495049505,4.830720429385861,0.04101424752756132,4
1057.0,0,0.0,233.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.536480686695279,0.3721153663249479,0.09963494175543144,22
1047.0,0,0.0,233.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.493562231759657,0.3721153663249479,0.09963494175543144,22
1073.0,0,0.0,313.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.428115015974441,0.3721153663249479,0.09963494175543144,22
1028.0,0,0.0,236.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.3559322033898304,0.3721153663249479,0.09963494175543144,22
1254.0,0,0.0,315.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.980952380952381,0.3721153663249479,0.09963494175543144,22
1054.0,0,0.0,236.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,4.466101694915254,0.3721153663249479,0.09963494175543144,22
1028.0,0,0.0,263.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.908745247148289,0.3721153663249479,0.09963494175543144,22
1195.0,0,0.0,313.0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3.817891373801917,0.3721153663249479,0.09963494175543144,22
1145.0,0,0.0,202.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.6683168316831685,6.149355705775471,0.0518812310257078,4
1199.0,0,0.0,183.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,6.551912568306011,6.149355705775471,0.0518812310257078,4
1159.0,0,0.0,183.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,6.333333333333333,6.149355705775471,0.0518812310257078,4
1115.0,0,0.0,201.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.54726368159204,6.149355705775471,0.0518812310257078,4
1199.0,0,0.0,235.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.102127659574468,6.149355705775471,0.0518812310257078,4
1075.0,0,0.0,224.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,4.799107142857143,6.149355705775471,0.0518812310257078,4
1099.0,0,0.0,224.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,4.90625,6.149355705775471,0.0518812310257078,4
1085.0,0,0.0,211.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,5.14218009478673,6.149355705775471,0.0518812310257078,4
775.0,0,0.0,224.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,3.4598214285714284,6.149355705775471,0.0518812310257078,4
1085.0,0,0.0,224.0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,4.84375,6.149355705775471,0.0518812310257078,4
1275.0,0,0.0,262.0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,4.866412213740458,5.13743891935156,0.0813751759653578,4
1304.0,0,0.0,269.0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,4.847583643122676,5.13743891935156,0.0813751759653578,4
1475.0,0,0.0,339.0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,4.351032448377581,5.13743891935156,0.0813751759653578,4
1575.0,0,0.0,452.0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,3.484513274336283,5.13743891935156,0.0813751759653578,4
1099.0,0,0.0,191.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,5.7539267015706805,1.810188329872614,0.07726253796243504,24
1099.0,0,0.0,191.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,5.7539267015706805,1.810188329872614,0.07726253796243504,24
1149.0,0,0.0,191.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,6.015706806282722,1.810188329872614,0.07726253796243504,24
1306.0,1,1.0,661.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1.9757942511346445,6.6139857224884215,0.16164693303209818,3
1306.0,1,1.0,661.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1.9757942511346445,6.6139857224884215,0.16164693303209818,3
1306.0,1,1.0,661.0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1.9757942511346445,6.6139857224884215,0.16164693303209818,3
1309.0,1,1.0,531.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.465160075329567,8.860298185014875,0.03970368406041814,9
1224.0,0,0.0,421.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.9073634204275534,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,605.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.581818181818182,8.860298185014875,0.03970368406041814,9
1224.0,0,0.0,421.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.9073634204275534,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,843.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1.8529062870699882,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,867.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1.8016147635524797,8.860298185014875,0.03970368406041814,9
1309.0,1,1.0,450.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.908888888888889,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,645.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.4217054263565894,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,867.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1.8016147635524797,8.860298185014875,0.03970368406041814,9
1309.0,1,1.0,474.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.761603375527426,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,621.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.5152979066022545,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,778.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.007712082262211,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,891.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1.7530864197530864,8.860298185014875,0.03970368406041814,9
1309.0,1,1.0,450.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.908888888888889,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,891.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1.7530864197530864,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,621.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.5152979066022545,8.860298185014875,0.03970368406041814,9
